TITULO;AUTOR;EDITORIAL;PRECIO ;TEMA;
COMIENZOS PARA UN ESTÉTICA ANARQUISTA ;LUIS OTHONIEL ;CUARTO PROPIO ;12000;LITERATURA CHILENA;
COMO CAMBIAR EL MUNDO;HOBSBAWM  ERIC;CRITICA;19500;HISTORIA ;
COMO DEJAR DE COMER CARNE;ADLER  OSCAR;ANAYA;18500;VERDE ANIMAL;
COMO DOMINA LA CLASE DOMINATE;THERBORN  GORAN;SIGLO XXI;24785;SOCIOLOGIA;
COMO HACER QUE FUNCIONE LA GLOBALIZACION;STIGLITZ  JOSEPH;TAURUS;15000;ENSAYO;
COMO PENSAR JUNTOS;STENGERS  ISABELLE;EDITORIAL SAPOSCAT ;7000;ENSAYO;
COMO SACAR PROVECHO DE LOS ENEMIGOS;PLUTARCO;SIRUELA ;13200;FILOSOFIA;
COMO SE CONSTRUYE UN ENEMIGO PUBLICO;LUCA QUEIROLO ;TRAFICANTES DE SUEÑOS;15000;SOCIOLOGIA;
COMO TERMINARA EL CAPITALISMO;WOLFGANG STRRCK;TRAFICANTES DE SUEÑOS;28000;FILOSOFIA;
COMPLICIDAD ECONOMICA CON LA DICTADURA;BOHOSLAVSKY  JUAN;LOM;18500;HISTORIA DE CHILE ;
COMPRO LAGO CABURGA;SUBERCASEAUX  ELIZABETH;CATALONIA;11000;LITERATURA CHILENA;
COMUNISMO PARA TODXS. BREVE HISTORIA DE COMO  AL FINAL  CAMBIARAN LAS COSAS ;BINI ADAMCZAK ;AKAL;15000;HISTORIA ;
CON MATICO ;ROCA  MACARENA;UNA CASA DE CARTON;9000;INFANTIL;
CON TODAS SUS FUERZAS ;GERTUDRE HARDING ;TXALAPARTA;15900;FEMINISMO;
CONEXION CHILENA  LA;BASSO  CARLOS ;DEBATE;6555;HISTORIA ;
CONFESIONES DE UN TRAFICANTE DE PERSONAS;ANDREA DI NICOLA;ALTAMAREA;18000;ENSAYO;
CONSEJOS A LOS POLITICOS PARA GOBERNAR BIEN;PLUTARCO;SIRUELA ;13000;FILOSOFIA;
CONSEJOS DE UN DISCIPULOS DE MORRISON;BOLAÑO  ROBERTO ;ALFAGUARA ;14000;LITERATURA CHILENA;
CONSIDERACIONES SOBRE EL MARXISMO OCCIDENTAL;ANDERSON  PERRY;SIGLO XXI;12000;FILOSOFIA;
CONTRA LA INOCENCIA;GUMUCIO  RAFAEL;CATALONIA;11000;ENSAYO;
CONTRA LOS HIJOS;MERUANE  LINA ;LITERATURA RANDOM ;10000;LITERATURA CHILENA;
CONTRA LOS NACIONALISMOS;MARX  KARL;TRAFICANTES DE SUEÑOS;17800;FILOSOFIA;
